;"Tracker
Existing Subnet
PT Aplikanusa Lintasarta
PT Mastersystem Infotama, Tbk";;;;;;;;;;;;;;;;;;;;;;;;
No;Namespace;Name;CIDR;Provider;VPC;;;;;;;;;;;;;;;;;;;;
1;-;coba-subnet-i3;10.168.231.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
2;-;external-network-gpu;10.1.0.0/18;external-network-gpu.kube-system;;;;;;;;;;;;;;;;;;;;;
3;-;external-network-mgmt;10.1.127.0/24;external-network-mgmt.kube-system;;;;;;;;;;;;;;;;;;;;;
4;-;join;100.64.0.0/17;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
5;-;loft-aigrow-v-ml;192.168.82.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
6;-;loft-assistx-v-deka-dev;192.168.66.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
7;-;loft-assistxenterprise-v-assistx;192.168.98.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
8;-;loft-bssn-itsa-v-itsa-bssn;192.168.109.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
9;-;loft-cv-alaska-sitrix-kreasi-v-ai-app;192.168.102.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
10;-;loft-dataon-v-chatbot;192.168.107.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
11;-;loft-dokumentasi-deka-gpu-v-demo-dokumentasi-deka-gpu;192.168.69.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
12;-;loft-fortinet-v-tesy;192.168.78.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
13;-;loft-hdkjdh-v-bvcjh;192.168.88.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
14;-;loft-ian-v-ai;192.168.106.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
15;-;loft-ioh-goto-v-goto-project;192.168.93.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
16;-;loft-l2-jatiluhur-v-l2-labs;192.168.67.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
17;-;loft-l2-jatiluhur-v-l2-vm-test;192.168.62.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
18;-;loft-naraya-v-deeplearning;192.168.75.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
19;-;loft-nvdia-parabricks-kemenkes-v-bgsi-project;192.168.105.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
20;-;loft-pengencoba-v-test;192.168.103.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
21;-;loft-pinazoloxiaz-v-speechai;192.168.30.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
22;-;loft-pt-botika-teknologi-indonesia-v-botika;192.168.54.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
23;-;loft-pt-molmod-jaya-sejahtera-v-molmod;192.168.80.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
24;-;loft-pt-pelindo-jasa-maritim-v-pelindo-project;192.168.83.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
25;-;loft-pt-sabana-oase-wiracarita-v-kpu-chatbot-ai;192.168.81.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
26;-;loft-pt-urchindize-indonesia-v-crystal;192.168.29.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
27;-;loft-retinad-v-retinad-v1-test;192.168.77.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
28;-;loft-sucor-sekuritas-v-dokumentasi-gpu-vin;192.168.89.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
29;-;loft-talentdna-ai-v-talentdna-ai;192.168.58.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
30;-;loft-testingforenterprise-16122024-v-testingforenterpri-427547c;192.168.64.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
31;-;loft-universitas-v-efesvs-1;192.168.76.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
32;-;loft-watting-ltd-v-trawgj;192.168.104.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
33;-;new-test-subnet-i3;192.168.55.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
34;-;ovn-default;10.240.0.0/13;ovn-nad.default.ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
35;-;subnet-accenture;192.168.21.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
36;-;subnet-accenture-cognitive;192.168.27.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
37;-;subnet-accenture-demoenv;192.168.26.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
38;-;subnet-accenture-dev;192.168.23.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
